#
# Directed graph - in-degree Distribution. G(216966, 1852847). 22918 (0.1056) nodes with in-deg > avg deg (17.1), 4417 (0.0204) with >2*avg.deg (Tue Nov 14 17:31:37 2017)
#
# In-degree	Count
1	22767
2	23335
3	21511
4	18912
5	16571
6	14710
7	12958
8	11353
9	9591
10	8375
11	7329
12	6390
13	5334
14	4610
15	3868
16	3479
17	2955
18	2570
19	2230
20	1921
21	1687
22	1516
23	1284
24	1153
25	968
26	860
27	785
28	686
29	556
30	552
31	498
32	499
33	393
34	343
35	337
36	275
37	284
38	242
39	212
40	197
41	174
42	174
43	144
44	145
45	141
46	125
47	94
48	105
49	95
50	94
51	93
52	78
53	84
54	72
55	54
56	54
57	72
58	53
59	36
60	52
61	47
62	34
63	37
64	36
65	34
66	42
67	18
68	18
69	27
70	24
71	20
72	26
73	22
74	33
75	22
76	11
77	17
78	20
79	21
80	16
81	8
82	12
83	14
84	13
85	13
86	4
87	16
88	11
89	8
90	6
91	8
92	5
93	8
94	9
95	6
96	8
97	3
98	10
99	1
100	6
101	11
102	5
103	5
104	7
105	10
106	4
107	6
108	3
109	2
110	4
111	5
112	4
113	6
114	3
115	5
116	3
117	4
118	4
119	4
120	5
121	4
122	1
123	4
124	2
125	4
126	4
127	1
128	2
129	3
130	4
131	1
132	1
133	2
134	1
135	2
136	3
137	2
138	1
140	7
141	2
142	1
143	3
144	1
145	2
146	2
147	1
150	1
151	2
152	2
153	3
155	1
156	1
159	2
160	1
161	1
162	2
163	1
166	4
167	1
168	1
170	3
172	2
174	2
175	2
177	1
179	1
182	2
184	1
185	1
186	2
188	1
189	1
191	1
192	1
193	1
194	1
195	2
197	1
205	1
207	1
209	1
210	1
211	1
216	1
222	1
224	1
227	1
231	1
235	1
239	1
241	1
247	1
250	1
252	1
253	1
256	1
270	1
281	1
286	1
297	1
311	1
318	1
346	1
369	1
408	1
